时间	Default1	Default2	Default3	Default4	Default5	Default6	Default7	Default8	TC1控制温度	TC1实际温度	TC1实际输出电压	TC1实际输出电流	TC1实际输出功率	TC2控制温度	TC2实际温度	TC2实际输出电压	TC2实际输出电流	TC2实际输出功率	压力(电压值)	压力(g)	步进电机当前位置	温度	湿度	LD设定温度(度)	LD实际温度(度)	LD设定温度(脉冲值)	LD实际温度(脉冲值)	LD PWM(功率)
45995.87790625	0	26.61	26.61	0	0	0	0	0	0	31.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8782037037	0	26.68	26.68	0	0	0	0	0	0	31.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.87825	0	26.64	26.64	0	0	0	0	0	0	31.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.87865625	0	26.615	26.615	0	0	0	0	0	0	31.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8790625	0	26.645	26.645	0	0	0	0	0	0	31.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8793599537	0	26.655	26.655	0	0	0	0	0	0	31.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.87940625	0	26.67	26.67	0	0	0	0	0	0	31.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8797037037	0	26.51	26.51	0	0	0	0	0	0	31.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8806412037	0	26.48	26.48	0	0	0	0	0	0	31.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8806875	0	26.585	26.585	0	0	0	0	0	0	31.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.88128125	0	26.455	26.455	0	0	0	0	0	0	31.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8819849537	0	26.555	26.555	0	0	0	0	0	0	31.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.882375	0	26.62	26.62	0	0	0	0	0	0	31.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.88328125	0	26.56	26.56	0	0	0	0	0	0	31.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.883875	0	26.65	26.65	0	0	0	0	0	0	31.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8839212963	0	26.675	26.675	0	0	0	0	0	0	31.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8851724537	0	26.625	26.625	0	0	0	0	0	0	31.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.88521875	0	26.55	26.55	0	0	0	0	0	0	31.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8855625	0	26.65	26.65	0	0	0	0	0	0	31.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8868900463	0	26.58	26.58	0	0	0	0	0	0	30.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
